,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,
0,94.125,93.6068,93.5989,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5987,93.5986,93.5986,93.5986,93.5984,93.5982,93.5979,93.5972,93.596,93.5941,93.591,93.586,93.5782,93.5665,93.549,93.5236,93.4873,93.4365,93.3666,93.2721,93.1465,92.9824,92.7711,92.5032,92.1683,91.7555,91.2533,90.6502,89.9347,89.0962,88.1245,87.0109,85.7483,84.3313,82.7567,81.0237,79.134,77.0916,74.903,72.5773,70.1257,67.5613,64.8989,62.1548,59.3463,56.4912,53.6079,50.7143,47.8284,44.967,42.1464,39.3814,36.6854,34.0706,31.5472,29.124,26.8081,24.6049,22.5183,20.5507,18.7031,16.9753,15.3658,13.8723,12.4917,11.2199,10.0526,8.98483,8.01128,7.12651,6.32495,5.60096,4.94896,4.36348,3.8392,3.37097,2.95392,2.58338,2.255,1.96468,1.70861,1.48326,1.28538,1.11201,0.960422,0.828154,0.712971,0.61286,0.526011,0.450806,0.385799,0.329704,0.28138,0.23982,0.204132,0.173536,0.147343,0.124953,0.105841,0.08955,0.075682,0.0638922,0.0538819,0.0453932,0.0382034,0.0321209,0.0269811,0.0226428,0.0189848,0.0159038,0.0133113,0.0111322,0.00930226,0.00776698,0.00648011,0.00540241,0.00450067,0.00374678,0.00311703,0.0025914,0.002153,0.00178763,0.00148336,0.00123014,0.00101956,0.000844549,0.000699197,0.000578552,0.000478478,0.000395515,0.000326778,0.000269858,0.00022275,0.000183781,0.000151563,0.000124937,0.000102942,8.47807e-05,6.97891e-05,5.74173e-05,4.72088e-05,3.8785e-05,3.18321e-05,2.60892e-05,2.134e-05,1.74043e-05,1.41319e-05,1.1397e-05,9.09348e-06,7.13111e-06,5.43219e-06,3.92857e-06,2.55915e-06,1.26755e-06,0,
1,94.125,93.6119,93.6041,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6039,93.6038,93.6037,93.6035,93.6032,93.6025,93.6015,93.5996,93.5967,93.5919,93.5845,93.5732,93.5564,93.5319,93.4967,93.4472,93.3791,93.2867,93.1636,93.0024,92.7943,92.5298,92.1987,91.7896,91.2912,90.6917,89.9794,89.1435,88.1736,87.0608,85.7978,84.379,82.8012,81.0633,79.167,77.1162,74.9177,72.5805,70.1159,67.5373,64.8597,62.0997,59.2748,56.4032,53.5034,50.5938,47.6924,44.8167,41.9827,39.2058,36.4994,33.8756,31.3451,28.9164,26.5968,24.3915,22.3045,20.338,18.4929,16.7689,15.1644,13.6769,12.3031,11.0389,9.87969,8.82044,7.85574,6.98,6.18752,5.47258,4.82951,4.25276,3.73694,3.27687,2.86761,2.50449,2.18312,1.89938,1.64947,1.42985,1.23729,1.06882,0.921733,0.793588,0.682164,0.58547,0.501715,0.429304,0.36681,0.312971,0.266665,0.226905,0.19282,0.163646,0.138712,0.117435,0.0993032,0.0838742,0.0707627,0.0596354,0.0502042,0.0422204,0.0354703,0.02977,0.0249617,0.0209104,0.0175006,0.0146339,0.0122261,0.010206,0.0085126,0.00709454,0.00590813,0.0049164,0.00408814,0.00339699,0.00282073,0.00234064,0.00194099,0.00160855,0.00133223,0.00110271,0.000912193,0.000754166,0.000623172,0.000514654,0.000424813,0.000350477,0.000289007,0.000238205,0.000196241,0.000161596,0.000133007,0.000109428,8.99885e-05,7.39683e-05,6.07706e-05,4.99008e-05,4.09498e-05,3.35786e-05,2.7507e-05,2.25025e-05,1.83728e-05,1.4958e-05,1.21252e-05,9.76318e-06,7.77853e-06,6.09199e-06,4.63544e-06,3.34933e-06,2.18037e-06,1.0795e-06,0,
2,94.125,93.617,93.6094,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6092,93.6091,93.6091,93.6091,93.609,93.6088,93.6085,93.6079,93.6069,93.6052,93.6023,93.5978,93.5908,93.58,93.5638,93.5401,93.506,93.4579,93.3915,93.3012,93.1806,93.0222,92.8174,92.5565,92.229,91.8239,91.3293,90.7335,90.0245,89.1913,88.2233,87.1115,85.8481,84.4276,82.8465,81.1037,79.2007,77.1416,74.9331,72.5842,70.1065,67.5135,64.8206,62.0444,59.2028,56.3144,53.3979,50.472,47.5551,44.6647,41.8173,39.0283,36.3114,33.6788,31.141,28.707,26.3836,24.1764,22.0891,20.1239,18.2814,16.5614,14.962,13.4807,12.114,10.8575,9.70665,8.65612,7.70043,6.83386,6.0506,5.34482,4.71078,4.14284,3.63555,3.18368,2.78226,2.42657,2.11222,1.83506,1.5913,1.37739,1.19012,1.02652,0.883903,0.759839,0.652132,0.558809,0.478104,0.40844,0.348415,0.296786,0.252456,0.214455,0.181933,0.154143,0.130433,0.110235,0.0930534,0.0784579,0.0660766,0.0555874,0.0467129,0.0392139,0.0328851,0.0275501,0.0230583,0.0192805,0.0161068,0.0134435,0.0112108,0.0093409,0.00777648,0.00646886,0.00537691,0.00446588,0.00370646,0.00307396,0.00254761,0.00210995,0.00174632,0.00144443,0.00119398,0.000986361,0.000814361,0.00067197,0.000554167,0.00045677,0.000376293,0.000309837,0.000254992,0.000209754,0.00017246,0.000141733,0.000116427,9.55975e-05,7.84591e-05,6.43638e-05,5.27751e-05,4.325e-05,3.54224e-05,2.89896e-05,2.3702e-05,1.9353e-05,1.5772e-05,1.28176e-05,1.03723e-05,8.33819e-06,6.6333e-06,5.18813e-06,3.94316e-06,2.84648e-06,1.85175e-06,9.16421e-07,0,
3,94.125,93.6221,93.6146,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6144,93.6143,93.6142,93.6141,93.6138,93.6132,93.6123,93.6107,93.608,93.6037,93.597,93.5866,93.5711,93.5482,93.5152,93.4685,93.4038,93.3157,93.1976,93.042,92.8404,92.5831,92.2595,91.8583,91.3677,90.7756,90.07,89.2396,88.2737,87.1628,85.8992,84.4771,82.8927,81.145,79.2354,77.1678,74.9491,72.5885,70.0975,67.4899,64.7813,61.9888,59.1303,56.2248,53.2913,50.349,47.4163,44.5111,41.6502,38.8489,36.1214,33.4799,30.935,28.4956,26.1687,23.9596,21.8721,19.9083,18.0687,16.3528,14.7588,13.2839,11.9244,10.6759,9.53351,8.49189,7.54538,6.68812,5.91421,5.21772,4.5928,4.03375,3.53506,3.09144,2.69788,2.34965,2.04232,1.77175,1.53412,1.32591,1.14389,0.985121,0.846933,0.72691,0.622875,0.532878,0.455174,0.388211,0.330608,0.281146,0.238747,0.202463,0.171464,0.145021,0.122501,0.103349,0.0870854,0.073295,0.0616175,0.0517425,0.0434027,0.0363685,0.0304428,0.0254569,0.0212667,0.0177492,0.0147998,0.0123293,0.0102621,0.00853422,0.00709134,0.00588762,0.00488436,0.00404895,0.00335391,0.00277617,0.00229632,0.00189811,0.00156791,0.00129431,0.00106778,0.000880354,0.000725398,0.000597372,0.000491665,0.000404444,0.000332519,0.000273245,0.000224426,0.000184239,0.000151177,0.000123991,0.000101648,8.32935e-05,6.82229e-05,5.58535e-05,4.57048e-05,3.73805e-05,3.05539e-05,2.49556e-05,2.03636e-05,1.6595e-05,1.34987e-05,1.095e-05,8.84538e-06,7.09896e-06,5.63882e-06,4.40427e-06,3.34346e-06,2.41126e-06,1.56753e-06,7.75426e-07,0,
4,94.125,93.6272,93.6199,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6197,93.6196,93.6196,93.6195,93.6194,93.6191,93.6186,93.6177,93.6162,93.6136,93.6096,93.6032,93.5932,93.5783,93.5562,93.5243,93.4791,93.4161,93.33,93.2144,93.0618,92.8634,92.6097,92.29,91.8928,91.4062,90.818,90.1159,89.2884,88.3246,87.2148,85.9511,84.5274,82.9399,81.1873,79.2709,77.1949,74.9659,72.5933,70.0888,67.4665,64.7421,61.9329,59.0573,56.1344,53.1838,50.2247,47.276,44.3558,41.4812,38.6677,35.9295,33.279,30.7269,28.2822,25.9518,23.741,21.6535,19.6912,17.8547,16.1432,14.5548,13.0864,11.7343,10.494,9.36032,8.32778,7.3906,6.54282,5.7784,5.0913,4.4756,3.92552,3.43548,3.00016,2.6145,2.27375,1.97344,1.70944,1.47793,1.27539,1.0986,0.944629,0.810829,0.694801,0.594392,0.507673,0.432924,0.368613,0.313386,0.266045,0.225533,0.190924,0.161408,0.136274,0.114907,0.0967679,0.0813928,0.0683791,0.0573794,0.0480948,0.0402681,0.0336789,0.0281385,0.0234857,0.0195827,0.0163127,0.0135759,0.0112879,0.00937721,0.00778318,0.00645468,0.00534855,0.00442844,0.00366378,0.00302886,0.00250214,0.00206554,0.00170394,0.0014047,0.00115725,0.000952787,0.000783964,0.000644667,0.000529813,0.000435175,0.000357246,0.000293116,0.000240374,0.000197023,0.000161412,0.000132174,0.000108182,8.85054e-05,7.2375e-05,5.91578e-05,4.83323e-05,3.94689e-05,3.22142e-05,2.62773e-05,2.14191e-05,1.74428e-05,1.41867e-05,1.15174e-05,9.32522e-06,7.51934e-06,6.02449e-06,4.77785e-06,3.72656e-06,2.82556e-06,2.03576e-06,1.32247e-06,6.5391e-07,0,
5,94.125,93.6323,93.6251,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6249,93.6248,93.6248,93.6246,93.6244,93.6239,93.6231,93.6216,93.6193,93.6154,93.6093,93.5998,93.5855,93.5642,93.5334,93.4895,93.4282,93.3443,93.2312,93.0814,92.8864,92.6363,92.3205,91.9274,91.445,90.8607,90.1623,89.3378,88.3762,87.2676,86.0038,84.5786,82.9879,81.2304,79.3074,77.2227,74.9834,72.5987,70.0806,67.4433,64.7028,61.8767,58.9837,56.0433,53.0752,50.0991,47.1342,44.1989,41.3103,38.4844,35.7355,33.076,30.5169,28.0668,25.733,23.5206,21.4332,19.4727,17.6394,15.9325,14.3498,12.8883,11.5439,10.3119,9.18708,8.16381,7.23614,6.39798,5.64317,4.96559,4.3592,3.81817,3.33686,2.90988,2.53215,2.19887,1.9056,1.64817,1.42275,1.22585,1.05426,0.905047,0.775591,0.663514,0.566683,0.483193,0.411349,0.349643,0.296744,0.251476,0.212807,0.179831,0.151757,0.127895,0.107645,0.0904865,0.075969,0.0637039,0.0533563,0.0446385,0.0373036,0.0311401,0.0259675,0.0216319,0.0180022,0.0149669,0.0124316,0.0103162,0.00855306,0.00708508,0.00586406,0.00484945,0.00400716,0.00330858,0.0027297,0.00225044,0.00185399,0.00152631,0.0012557,0.00103238,0.000848234,0.000696501,0.000571564,0.000468763,0.000384232,0.000314771,0.000257729,0.000210914,0.000172515,0.000141038,0.000115249,9.41318e-05,7.68489e-05,6.27109e-05,5.1151e-05,4.1703e-05,3.39839e-05,2.76794e-05,2.25312e-05,1.83276e-05,1.48947e-05,1.20897e-05,9.79562e-06,7.91593e-06,6.37122e-06,5.09574e-06,4.0348e-06,3.14247e-06,2.37973e-06,1.71283e-06,1.11185e-06,5.49521e-07,0,
6,94.125,93.6374,93.6303,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6302,93.6301,93.6301,93.63,93.6299,93.6297,93.6292,93.6285,93.6271,93.6249,93.6212,93.6154,93.6064,93.5926,93.5722,93.5424,93.4999,93.4403,93.3584,93.2478,93.101,92.9093,92.663,92.3511,91.9622,91.4839,90.9037,90.209,89.3877,88.4284,87.3211,86.0573,84.6306,83.0369,81.2745,79.3447,77.2515,75.0016,72.6047,70.0728,67.4203,64.6635,61.8202,58.9095,55.9513,52.9655,49.9722,46.9909,44.0402,41.1376,38.2992,35.5395,32.871,30.3047,27.8494,25.5123,23.2984,21.2113,19.2527,17.4229,15.7207,14.1441,12.6895,11.353,10.1296,9.01383,8.00001,7.08202,6.25363,5.50857,4.84061,4.24364,3.71174,3.2392,2.8206,2.45082,2.12505,1.83881,1.58793,1.3686,1.17731,1.01087,0.866379,0.741223,0.633048,0.539746,0.459436,0.390446,0.331295,0.280675,0.237435,0.200563,0.169177,0.142506,0.119877,0.100709,0.0844976,0.0708073,0.059263,0.049542,0.0413679,0.0345035,0.0287467,0.0239249,0.0198912,0.0165209,0.0137081,0.0113633,0.00941082,0.00778675,0.00643726,0.00531708,0.00438816,0.00361859,0.00298162,0.00245489,0.0020197,0.00166046,0.00136415,0.00111995,0.000918849,0.000753373,0.000617311,0.000505513,0.000413718,0.000338397,0.000276635,0.000226023,0.000184574,0.000150649,0.000122899,0.000100213,8.16757e-05,6.65371e-05,5.418e-05,4.4098e-05,3.58758e-05,2.91728e-05,2.37101e-05,1.92592e-05,1.5633e-05,1.26782e-05,1.02695e-05,8.30395e-06,6.69733e-06,5.38026e-06,4.2955e-06,3.39557e-06,2.6407e-06,1.9972e-06,1.43601e-06,9.31452e-07,4.60145e-07,0,
7,94.125,93.6425,93.6356,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6354,93.6353,93.6352,93.635,93.6346,93.6338,93.6326,93.6305,93.627,93.6215,93.6129,93.5997,93.58,93.5513,93.5101,93.4522,93.3724,93.2644,93.1205,92.9322,92.6895,92.3818,91.9971,91.5231,90.947,90.2561,89.438,88.4812,87.3754,86.1117,84.6837,83.0868,81.3196,79.383,77.2811,75.0207,72.6114,70.0655,67.3976,64.6241,61.7635,58.8348,55.8584,52.8547,49.8439,46.846,43.8798,40.963,38.112,35.3413,32.6638,30.0904,27.63,25.2896,23.0744,20.9877,19.0312,17.205,15.5079,13.9374,12.4902,11.1617,9.94703,8.84059,7.83641,6.92827,6.10981,5.37463,4.71641,4.12895,3.60624,3.14254,2.73237,2.37056,2.0523,1.77308,1.52875,1.31547,1.12976,0.968442,0.828628,0.707725,0.603404,0.51358,0.436398,0.370211,0.313565,0.265175,0.223914,0.188795,0.158956,0.133645,0.112212,0.0940911,0.0787943,0.0659011,0.0550499,0.0459304,0.038277,0.0318626,0.0264938,0.0220059,0.018259,0.0151347,0.0125325,0.0103677,0.00856871,0.00707542,0.00583716,0.00481143,0.00396261,0.00326085,0.00268124,0.00220294,0.0018086,0.00148376,0.0012164,0.000996527,0.00081585,0.000667495,0.000545771,0.000445971,0.000364203,0.000297254,0.000242477,0.000197686,0.000161083,0.000131191,0.000106792,8.68895e-05,7.06626e-05,5.74396e-05,4.66699e-05,3.79025e-05,3.07681e-05,2.49649e-05,2.0246e-05,1.64097e-05,1.32913e-05,1.07561e-05,8.69421e-06,7.01568e-06,5.64696e-06,4.5277e-06,3.60825e-06,2.84748e-06,2.2111e-06,1.6701e-06,1.19954e-06,7.77457e-07,3.83885e-07,0,
8,94.125,93.6476,93.6408,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6407,93.6406,93.6406,93.6406,93.6405,93.6403,93.6399,93.6392,93.638,93.6361,93.6328,93.6276,93.6193,93.6067,93.5878,93.5601,93.5203,93.4641,93.3864,93.2808,93.1399,92.955,92.7161,92.4124,92.032,91.5624,90.9906,90.3037,89.489,88.5347,87.4304,86.167,84.7376,83.1378,81.3657,79.4223,77.3116,75.0405,72.6187,70.0586,67.375,64.5848,61.7064,58.7596,55.7648,52.7428,49.7143,46.6995,43.7175,40.7864,37.9226,35.141,32.4545,29.8739,27.4084,25.0649,22.8485,20.7624,18.8082,16.9859,15.294,13.73,12.2902,10.97,9.76435,8.66739,7.67304,6.77492,5.96653,5.24138,4.59301,4.01514,3.50171,3.0469,2.64519,2.29139,1.98064,1.70844,1.47063,1.26338,1.08322,0.926981,0.791798,0.6751,0.574581,0.488182,0.414075,0.35064,0.296446,0.250236,0.210907,0.177495,0.149159,0.12517,0.104894,0.0877843,0.0733695,0.0612435,0.0510581,0.0425152,0.0353599,0.0293751,0.024376,0.0202056,0.016731,0.0138396,0.0114364,0.00944126,0.00778678,0.00641629,0.00528225,0.00434484,0.00357074,0.00293214,0.0024058,0.0019724,0.00161585,0.00132278,0.00108208,0.000884564,0.000722612,0.000589923,0.000481292,0.000392421,0.000319768,0.000260414,0.000211957,0.000172422,0.000140187,0.000113919,9.25274e-05,7.51159e-05,6.09519e-05,4.94358e-05,4.00773e-05,3.24759e-05,2.63042e-05,2.12955e-05,1.72318e-05,1.39358e-05,1.12627e-05,9.09457e-06,7.33536e-06,5.90668e-06,4.74456e-06,3.79666e-06,3.02001e-06,2.37914e-06,1.84455e-06,1.39136e-06,9.98245e-07,6.46469e-07,3.19049e-07,0,
9,94.125,93.6527,93.6461,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6459,93.6458,93.6457,93.6455,93.6452,93.6446,93.6435,93.6416,93.6385,93.6336,93.6258,93.6137,93.5956,93.5689,93.5304,93.4759,93.4002,93.2972,93.1592,92.9777,92.7427,92.4431,92.0671,91.6019,91.0345,90.3516,89.5404,88.5889,87.4862,86.2231,84.7925,83.1897,81.4128,79.4626,77.3431,75.0611,72.6266,70.0522,67.3527,64.5454,61.6491,58.6837,55.6702,52.6297,49.5832,46.5513,43.5534,40.6077,37.7311,34.9385,32.2429,29.6553,27.1848,24.8382,22.6208,20.5354,18.5837,16.7655,15.079,13.5217,12.0896,10.778,9.58152,8.49426,7.50993,6.622,5.82385,5.10884,4.47044,3.90227,3.39818,2.95231,2.5591,2.21331,1.91009,1.6449,1.41359,1.21235,1.0377,0.886492,0.755892,0.643348,0.546578,0.463551,0.392465,0.331728,0.279934,0.235854,0.198408,0.166656,0.13978,0.117071,0.0979142,0.0817812,0.0682161,0.0568277,0.0472811,0.0392901,0.0326109,0.0270357,0.0223883,0.0185194,0.0153027,0.0126316,0.0104161,0.00858075,0.00706199,0.00580662,0.00477008,0.0039151,0.00321061,0.00263068,0.00215376,0.0017619,0.00144024,0.00117642,0.000960233,0.000783221,0.000638405,0.000520019,0.000423314,0.000344378,0.000279992,0.000227509,0.000184759,0.000149959,0.000121648,9.86307e-05,7.99284e-05,6.47406e-05,5.24138e-05,4.24144e-05,3.4307e-05,2.77368e-05,2.24147e-05,1.81054e-05,1.46173e-05,1.17947e-05,9.51085e-06,7.66287e-06,6.16702e-06,4.95518e-06,3.97191e-06,3.17195e-06,2.51826e-06,1.98035e-06,1.53291e-06,1.15469e-06,8.27512e-07,5.35455e-07,2.64126e-07,0,
